duration,stop,year,round,name,code
24:09.259,1,2021,11,Hungarian Grand Prix,HAM
24:16.349,2,2021,11,Hungarian Grand Prix,VER
35.245,3,2021,11,Hungarian Grand Prix,VER
21.731,2,2021,11,Hungarian Grand Prix,HAM
21.516,3,2021,11,Hungarian Grand Prix,HAM
21.047,4,2021,11,Hungarian Grand Prix,VER
20.848,5,2021,11,Hungarian Grand Prix,VER
21.208,4,2021,11,Hungarian Grand Prix,HAM
19.77,1,2021,13,Dutch Grand Prix,HAM
19.142,1,2021,13,Dutch Grand Prix,VER
18.868,2,2021,13,Dutch Grand Prix,HAM
18.578,2,2021,13,Dutch Grand Prix,VER
19.202,3,2021,13,Dutch Grand Prix,HAM
32.456,1,2021,14,Italian Grand Prix,VER
25.619,1,2021,14,Italian Grand Prix,HAM
29.878,1,2021,15,Russian Grand Prix,HAM
29.578,1,2021,15,Russian Grand Prix,VER
31.017,2,2021,15,Russian Grand Prix,VER
30.045,2,2021,15,Russian Grand Prix,HAM
22.442,1,2021,16,Turkish Grand Prix,VER
22.684,1,2021,16,Turkish Grand Prix,HAM
23.727,1,2021,17,United States Grand Prix,VER
24.481,1,2021,17,United States Grand Prix,HAM
24.052,2,2021,17,United States Grand Prix,VER
23.676,2,2021,17,United States Grand Prix,HAM
22.373,1,2021,18,Mexico City Grand Prix,HAM
21.908,1,2021,18,Mexico City Grand Prix,VER
17.916,1,2021,19,São Paulo Grand Prix,VER
17.91,1,2021,19,São Paulo Grand Prix,HAM
17.807,2,2021,19,São Paulo Grand Prix,VER
18.66,2,2021,19,São Paulo Grand Prix,HAM
22.69,3,2021,19,São Paulo Grand Prix,HAM
22.722,3,2021,19,São Paulo Grand Prix,VER
22.766,4,2021,19,São Paulo Grand Prix,VER
22.664,4,2021,19,São Paulo Grand Prix,HAM
25.3,1,2021,20,Qatar Grand Prix,VER
25.235,1,2021,20,Qatar Grand Prix,HAM
25.175,2,2021,20,Qatar Grand Prix,VER
25.381,2,2021,20,Qatar Grand Prix,HAM
25.465,3,2021,20,Qatar Grand Prix,VER
